RespondentID,"In your own words, what would you call the part of the country you live in now?",Personally identification as a Midwesterner?,Illinois in MW?,Indiana in MW?,Iowa in MW?,Kansas in MW?,Michigan in MW?,Minnesota in MW?,Missouri in MW?,Nebraska in MW?,North Dakota in MW?,Ohio in MW?,South Dakota in MW?,Wisconsin in MW?,Arkansas in MW?,Colorado in MW?,Kentucky in MW?,Oklahoma in MW?,Pennsylvania in MW?,West Virginia in MW?,Montana in MW?,Wyoming in MW?,ZIP Code,Gender,Age,Household Income,Education,Location (Census Region)
3122060778,West,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95018,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3121880478,Golden State. The best in the Country.,Not at all,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,94044,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3121595633,Western United States,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,92253,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3120763382,High desert pacific new united syates,Not much,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,99336,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3120803644,Northern California/West Coast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,94037,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3122916809,Pacific,Not at all,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,96753,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3122839962,Pacific Northwest,Not at all,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97132,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3122117623,depressed,Not at all,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,39180,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3121665564,Suburban,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,92128,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3122514783,West,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,93523,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3124273278,Sunny Southern California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,92122,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3122362646,West Coast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,92103,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3122532281,Raining city,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,98087,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
3120974639,the Southwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92345,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3123239009,Southwest,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,92028,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3121899027,The Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,97520,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3120988002,Southern California,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,92107,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3120859754,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,98648,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3123267828,Northern California,Not at all,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,95482,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3123011326,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97223,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3121856210,The BAy Area (northern California),Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,94706,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3122534347,San Francisco Bay Area,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,94040,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3122985780,The west,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95822,Female,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3122960659,the bay area,Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,94085,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3123371447,I live out in the west.,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,93602,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3122249112,The far west.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,95747,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3122206749,Monterey Bay Area,Not at all,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,95076,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3120730189,west coast,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,91941,Female,45-60,"$25,000 - $49,999",Graduate degree,Pacific
3124641634,Northwest,Not at all,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,97080,Male,30-44,"$25,000 - $49,999",Graduate degree,Pacific
3123923594,north western us,Some,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,97914,Male,30-44,"$25,000 - $49,999",Graduate degree,Pacific
3120717354,Northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,97214,Female,18-29,"$25,000 - $49,999",Graduate degree,Pacific
3122453400,West Coast,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,95336,Female,> 60,"$0 - $24,999",Graduate degree,Pacific
3122984492,northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98102,Male,> 60,"$0 - $24,999",Graduate degree,Pacific
3122478886,west coast,Not at all,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,92105,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
3120863583,west coast,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,97321,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
3122704816,The West,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,94611,Male,45-60,"$0 - $24,999",Graduate degree,Pacific
3122609115,"Pacific Northwest, more specifically, Central Oregon High Desert",Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,97760,Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
3123134716,West,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,94114,Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
3122884823,te northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,98027,Male,> 60,"$150,000+",Associate or bachelor degree,Pacific
3121602717,"Left coast, high taxes, corrupt government, illegal aliens",Not at all,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,92122,Male,> 60,"$150,000+",Associate or bachelor degree,Pacific
3122356949,West,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,91739,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122236261,Southwest,Not at all,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,92128,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122169270,Southern California,Not at all,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92131,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3123336216,the West Coast,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,91604,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3123253371,NW,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,97224,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122837629,North west,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,97525,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122214526,Inland Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,89338,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122041812,WA,Not at all,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,98040,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3121853379,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,99114,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122544560,CALIFORNIA,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,95060,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3122593460,Pacific Northwestner,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98033,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3121842768,West,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,94588,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
3121755352,west coast,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,92026,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
3123290504,Southern California,Some,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,92131,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
3123889854,"Scenic, mostly progressive, beautiful, warm, friendly, coastal, temperate, wine country",Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,93401,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
3123116237,Pacific northwest,Not at all,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,97701,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
3122329190,Southern California,Not at all,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,92024,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
3120952256,Sunny California,Not at all,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,92009,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
3123281575,Pacific northwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,97007,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
3123294441,West coast,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,92115,Male,18-29,"$150,000+",Associate or bachelor degree,Pacific
3126029388,West coast.,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,97302,Male,18-29,"$150,000+",Associate or bachelor degree,Pacific
3122133054,west,Not much,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,91406,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3123169375,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,97062,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3122982573,Southwest coastal,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,92123,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3122410218,West Coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94526,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3120895564,West coast,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,91702,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3123174455,pacific northwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,97056,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3120765702,Pacific Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98107,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3123007532,West,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,95409,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3124728773,West Coast  SoCal  Southern California,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,91320,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3123382748,"Northern climate, Alaska",Not at all,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,99709,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3123206568,paradise,Not at all,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,96816,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3122633633,West Coast,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,90803,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3122584527,Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,98144,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3121909529,Northern California,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,94044,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3123272749,Northwest,Not at all,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98329,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3122103336,Pacific Coast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,95472,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120924055,Northern California,Not at all,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,94609,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120771033,the most beautiful place in the world,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,95531,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3121163473,WESTERN REGION,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,90034,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122347727,tropical island,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,96789,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122508565,The Pacific Northwest,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,98337,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120894287,West,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,95610,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120778017,West Coast,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,92629,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120938625,The west,Not much,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,94550,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122458975,West Coast,A lot,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,95207,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3124160666,Southern California,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92260,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3124148317,southwest,Not at all,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,91730,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122791086,California,Not much,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,95368,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122849784,Pacific northwest,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,98375,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122930585,Pacific Northwest,Some,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98021,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3124212354,west coast,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,91710,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122459101,Northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,544,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3123274327,Pacific Southwest,Not much,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,92108,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122808504,West coast,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,91601,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120944367,northwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,97006,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3121945620,West,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,92630,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120820850,Northwest,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,95501,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3122296468,Pacific Northwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,60564,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
